MO,ADM,BFB,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA,ABT,ABBV,AET,AGN,ABC,BAX,BDX,BMY,CERN,DHR,DVA,XRAY,EW,EVHC,ESRX,HCA,HSIC,IDXX,IQV,JNJ,LH,LLY,MDT,MRK,MTD,PDCO,PRGO,PFE,DGX,RMD,COO,ZBH,ZTS,T,CTL,VZ,LNT,AWK,ED,D,DTE,ES,NI,NRG,SCG,SO,WEC
57.042244,35.647274,1.9287488,53.750275,79.51671,41.673935,69.31515,39.043617,134.6622,141.56955,22.985584,87.54288,81.95241,76.522,54.680935,71.72523,115.516655,69.22868,120.090385,59.42155,37.53103,79.73993,83.65484,41.258175,125.95048,92.80526,84.46631,75.35079,38.826584,120.3878,83.50519,48.108635,65.447044,75.027374,39.478497,55.358963,100.04533,266.4454,88.06202,37.985455,133.82202,57.96162,60.232162,84.99349,68.17571,57.780495,74.20378,24.677689,74.06265,60.23838,140.8768,70.21318,62.718014,97.36175,105.4446,71.68514,70.57382,50.979073,291.7474,38.694782,142.39189,29.842627,63.732838,53.499184,128.16197,94.2454,45.431,32.371452,1.4084233,46.288406,59.687325,56.550896,64.20035,67.46122,77.86503,49.26138,21.351723,12.662216,58.02563,46.302025,51.494568
57.24082,35.405933,2.0894716,53.968407,80.53906,42.000557,69.32378,39.04103,136.34705,143.03235,22.921387,88.39947,83.32042,77.656906,55.522854,73.03005,117.10343,69.763695,121.02129,60.810352,38.11427,80.75505,85.07202,41.375683,127.99528,93.08169,85.285995,77.73477,39.415405,121.87347,84.32274,48.74177,64.645874,75.18525,39.64074,55.631428,101.36626,271.17343,88.77491,37.466496,135.73361,58.474895,61.181244,85.643456,67.989136,57.74951,73.08713,24.161453,75.13826,60.520817,142.89154,70.82592,63.162983,97.186035,106.872765,73.21092,71.19575,50.657818,296.7541,39.11641,144.07184,29.607864,64.013885,53.827503,128.01132,95.221344,45.28735,32.75372,1.3656539,46.128166,60.27804,56.969376,64.68672,68.22462,78.07968,49.360573,20.89835,12.312145,58.114674,46.315926,51.828785
58.393394,36.079494,1.9375722,54.022636,79.66751,42.326412,70.31307,39.175194,135.02495,142.59158,23.397152,89.5311,83.27528,76.881454,55.397694,72.20031,116.76626,70.0888,120.960205,59.247574,38.18421,79.85263,83.899284,41.862667,127.45852,93.46775,84.7823,77.71594,39.4957,121.36378,84.79928,48.27457,65.01735,75.44639,39.91444,55.679264,100.78631,269.00894,88.39551,38.53765,135.73631,58.79449,60.8873,86.22675,68.16581,58.127254,75.50367,25.092558,75.73446,60.673573,142.73752,72.43182,63.17559,96.91143,106.53322,72.22198,71.07983,50.889835,295.10455,39.229,144.01938,29.600067,64.272514,53.969498,129.19328,95.88415,45.595062,32.757816,1.4013656,46.617355,60.340977,57.0179,65.10677,68.05553,78.39754,49.07659,21.47569,13.73526,58.311825,46.019005,50.928608
57.732513,35.893066,1.8048694,53.558655,79.04257,41.46313,69.46587,38.91953,133.96472,141.55899,23.405418,88.45264,82.35761,75.35541,54.347576,71.15223,115.873344,69.2009,118.94709,59.490643,37.144592,79.31655,81.819824,41.4263,126.26008,92.51392,83.87605,76.13406,38.718727,119.43707,83.57216,47.84281,63.203175,74.74012,39.403397,54.856354,99.38488,264.2727,87.470955,37.71867,134.09158,57.94106,59.959465,84.89116,68.12512,57.834915,76.01268,24.697647,74.45153,59.783443,140.69122,69.89541,62.327408,95.52096,104.99793,71.711464,69.85752,50.255512,290.38882,38.34194,141.16252,29.147043,63.292526,53.755253,127.05777,94.78459,45.115086,32.57073,1.3363303,46.404446,59.36699,56.373684,64.142395,66.713135,77.149895,47.961395,20.901913,13.100811,57.645874,45.131382,50.201294
58.01772,34.601383,1.6141164,53.08921,81.00854,42.12625,69.64984,38.878063,135.72934,143.38974,22.791943,90.15675,82.98131,76.550224,53.73775,71.436005,118.46502,69.35725,119.790825,61.89619,38.091564,79.9525,84.10829,42.337173,128.44281,92.02344,86.07196,77.65718,39.07519,121.2132,84.87916,49.082314,61.909126,74.988144,38.353363,55.158127,100.873726,269.28754,88.36852,36.832386,135.65494,57.994217,60.172672,85.283516,67.95828,57.30172,78.15897,24.330187,75.35748,59.7329,143.07043,72.50015,62.982513,93.66899,106.08872,73.14286,69.87802,49.71009,294.8893,39.66583,142.8533,29.559343,64.39155,53.050694,126.412155,95.34176,44.86612,32.835472,0.9583944,46.940594,59.593807,56.228493,65.455696,69.1376,77.681786,47.919197,20.26581,12.26046,57.895702,45.230957,50.079506
58.439663,35.61988,1.5424297,53.54145,82.05405,43.08346,69.80438,39.268044,137.33363,145.62604,23.29029,91.55138,84.16713,77.524536,53.885036,72.27371,119.511986,70.21848,121.17376,62.540916,38.510174,80.39259,85.30715,43.310135,130.90948,93.772285,86.94022,77.77675,39.548676,122.79547,85.67949,49.683025,62.5214,76.21493,38.9821,55.65769,101.6076,273.46927,89.88028,37.415043,137.845,59.04899,60.08405,85.93713,67.78323,58.259205,80.1103,25.324345,76.08493,60.533176,144.85107,73.394905,64.04981,94.83268,107.946754,74.248405,70.694084,50.635532,299.00198,40.378273,144.01846,30.082582,64.96231,52.729755,127.56644,96.976845,45.31093,33.34149,1.0698394,47.33725,60.12929,56.851852,66.05574,69.591255,78.56722,48.47761,20.456652,12.433712,59.099583,45.826073,50.817123
58.54323,36.114494,1.6110418,54.2491,82.936554,43.74885,69.9537,39.5884,139.03485,147.63733,23.443707,92.39533,85.52091,78.69662,54.49493,73.59014,120.99613,70.5425,122.21933,63.67888,39.051273,81.31099,86.21776,43.58899,132.64275,95.13206,88.115326,78.72049,40.037766,123.9016,86.1782,50.201515,63.179913,76.99328,39.900547,56.06635,103.667305,276.608,91.1,37.732376,139.41786,60.0207,60.644215,87.15763,68.623375,59.15438,81.25341,25.455479,77.35305,61.378345,146.46616,73.366005,65.17146,95.850845,109.682495,75.74287,71.405815,51.068317,302.82272,41.148712,144.99689,30.572058,66.00243,52.948994,127.94706,98.66863,45.466984,33.81326,1.0207571,47.848793,60.64628,57.35531,66.52469,69.70417,78.93566,48.89599,20.264536,11.811192,59.59647,45.867725,50.893246
58.82476,36.281895,1.358566,54.424587,81.7428,43.85397,70.46226,39.403152,137.89595,146.85486,23.94551,92.154335,84.72365,77.70448,54.159508,72.842155,120.28741,70.24582,121.24585,62.82054,38.53763,80.44341,84.976135,43.787086,131.4721,95.173134,87.66597,77.63811,39.626396,122.648155,85.08001,49.35226,63.4466,76.801125,40.00936,55.83333,102.93614,271.46774,90.36271,37.406837,138.26216,59.817257,60.27813,87.27371,68.88078,59.445557,82.878334,24.9513,76.76394,60.41544,145.1954,72.48462,64.33261,95.96409,108.17083,74.42885,71.23655,50.62471,298.16608,40.686768,142.83904,30.420256,65.58521,52.792004,127.6587,97.906136,45.495476,33.714626,1.0130409,47.992184,60.21216,56.881798,66.39234,69.179054,78.92731,48.53919,20.5618,12.073059,59.61272,45.767517,50.770737
58.466835,35.873875,1.617933,54.524155,81.78764,43.29504,70.62079,39.37154,138.81293,147.71521,23.956451,91.84468,85.90933,78.25731,54.998615,73.08351,120.53952,70.39469,121.47763,63.600815,38.276146,81.17462,85.79782,43.09455,132.03964,95.26612,87.70471,77.94206,39.769653,123.247826,85.37414,49.639355,63.253853,77.065544,40.29819,56.1868,103.56227,273.6378,90.56988,37.247066,138.97003,60.163544,60.01994,87.60489,69.294044,59.473736,83.508736,24.516365,77.46952,60.633568,146.00278,72.24928,64.440384,96.2744,109.169975,75.00084,71.40486,50.672245,301.24396,40.212654,142.79683,30.399126,66.23145,53.720253,127.64527,98.51149,45.866455,33.638866,1.3212818,47.7223,60.54265,57.334003,66.0109,68.69972,78.76144,48.624973,20.018139,11.305035,59.553867,45.55277,50.560345
58.584473,36.407913,1.6691196,54.677067,82.37157,43.77946,70.94158,39.57877,139.52597,149.35547,24.088142,92.75566,86.57197,78.95905,55.490593,73.53862,121.250206,70.94943,122.39081,63.900692,38.743057,81.60144,86.85273,43.424294,133.50133,96.16033,88.262955,78.075966,39.92279,124.05272,86.05186,50.0728,63.751392,77.98406,40.640877,56.600834,104.08575,276.94565,91.64665,37.93753,140.22372,60.906353,60.202538,88.37045,69.335464,59.67577,85.43325,24.991667,78.6061,61.233295,147.391,73.69875,64.878494,96.96749,110.5451,75.701515,71.90502,51.17059,304.7997,40.49859,144.09169,30.746778,67.228584,53.58746,128.79413,99.54278,46.202576,33.794758,1.3628114,47.845184,61.07652,57.942337,66.16652,68.986694,79.519516,49.13468,20.086742,11.19389,60.078846,45.811962,50.796658
58.30279,36.930424,1.7574155,54.88807,82.16837,43.76797,70.8316,39.713535,138.74947,148.77809,24.077717,92.073555,86.03287,78.83781,55.54624,73.183815,120.279884,70.834625,122.26438,63.39456,38.074448,81.39001,86.21956,43.250328,132.48633,96.298225,87.75239,77.08751,39.832344,123.56919,86.26817,49.85604,64.44622,78.34791,40.85555,56.406857,103.77749,275.1215,91.81068,38.186813,139.47824,60.628475,60.318966,88.52176,69.85092,59.89171,86.72356,25.579733,78.291985,61.38037,146.72679,73.35188,64.875145,97.68429,110.30682,74.962776,71.728004,51.568726,302.47067,40.099365,144.0103,30.881678,66.96753,53.478058,129.45401,99.2947,46.20544,33.68905,1.5101775,47.77689,60.92394,57.890636,65.718094,68.471306,79.46553,49.363827,20.212862,11.104801,60.12309,45.796867,50.797096
58.612213,36.83878,1.6875684,54.818794,82.61079,44.25636,71.16198,39.529137,139.53902,149.70102,23.954416,92.68663,86.31154,79.20711,55.724205,73.45645,121.13234,70.856,122.76039,64.133606,38.199257,81.86978,86.99608,43.46175,133.25685,96.43791,88.639305,77.94188,39.96154,123.9806,86.51368,49.85179,64.26005,78.47956,40.855396,56.30913,104.52575,275.97275,91.65767,37.970158,140.15115,60.875473,60.817673,89.12068,70.1047,60.051743,88.27732,25.054228,78.86959,61.149555,147.5245,74.055626,64.91104,97.52481,110.883644,75.628716,71.96145,51.146107,303.19144,40.48771,144.60437,30.950739,67.24853,53.38562,129.1451,99.438545,45.794197,34.064983,1.3685044,48.150196,61.12124,57.701378,66.23783,69.118385,79.70289,49.411423,19.979982,10.908089,60.20069,45.717476,50.857597
59.18803,37.256702,1.6023271,55.33948,83.83086,45.385788,71.62334,39.890984,141.64433,151.76532,24.145363,94.207886,87.506516,80.57526,56.100677,74.2393,122.75484,71.60617,124.234314,65.20091,38.78557,82.683624,88.85651,44.38997,135.26418,97.61707,90.14035,79.16519,40.85582,125.841705,87.58779,50.632042,64.71106,79.603325,41.474438,56.723423,106.126205,280.09048,92.769936,38.230297,142.21942,61.90521,61.450108,90.22754,70.64528,61.01471,90.15719,25.513973,79.98581,61.787136,149.78627,75.79767,66.045616,98.52244,113.02853,76.85725,72.74935,51.75574,307.28305,41.161964,146.59865,31.609228,68.072075,53.3519,130.29501,100.94209,45.95817,34.690334,1.3495353,49.009533,61.778572,58.310867,67.2301,70.49495,80.67658,50.053856,20.081463,10.98716,61.038612,46.241867,51.193592
58.710403,37.297535,1.7290723,54.890877,83.37482,44.868423,70.22344,39.93743,140.34068,150.80663,24.419237,93.818665,87.21304,80.53485,55.10858,73.39835,120.91833,71.31683,123.24717,65.795975,37.841133,81.669464,88.377464,44.72287,135.26062,97.352844,88.48518,76.86613,40.42861,124.663605,86.64529,49.97463,63.63109,79.63729,41.012196,55.77328,104.62464,279.44843,93.04485,37.231014,141.16977,61.623257,60.55653,89.08206,69.32088,60.233826,91.6514,26.646317,78.50077,62.338886,148.30473,73.87788,66.36222,97.36602,112.22755,76.5837,71.998146,51.793686,305.06772,41.31797,145.99243,31.687128,67.40524,52.71451,129.81944,100.19264,46.03663,33.98367,1.4228123,48.016243,60.71696,58.452896,66.36726,69.75698,80.18934,49.771782,19.688955,11.450676,60.278835,45.867455,50.765377
58.069275,37.436314,1.7655513,54.252995,82.3315,44.368576,69.495346,39.51362,138.7621,149.81633,24.11438,92.48345,85.65279,79.497665,55.021553,72.5941,119.24152,70.73009,122.25636,64.28242,37.93244,81.40317,87.7623,44.280754,133.33704,96.693596,88.185715,76.17379,39.584366,123.218544,86.269455,49.26106,63.89818,78.96296,40.486076,55.273655,103.19538,275.79547,91.83881,37.49674,139.46162,61.017475,60.172913,88.310524,68.70193,60.087563,91.13032,26.256058,77.94008,61.522762,147.14455,74.09897,65.3162,97.33274,111.13384,75.68647,71.417046,51.68672,301.2881,40.62154,145.10349,31.584381,66.74038,51.76076,129.10193,98.70549,45.53696,34.02116,1.516126,47.860275,60.534813,57.953117,65.307,69.45268,80.091255,49.553158,20.21375,11.5298195,59.953854,45.787556,51.110004
58.927406,36.836956,1.7300241,54.435017,83.66318,44.678623,70.09027,39.564808,141.21593,152.08719,23.9879,94.447495,87.58226,81.03653,55.724037,73.48043,121.72163,71.368515,124.06334,65.99601,38.678883,82.501495,89.48501,44.545403,135.96729,97.04108,89.40729,78.178764,40.277527,125.266,87.368675,50.3074,63.34258,79.66889,40.591045,56.126804,105.25454,283.2468,92.79678,37.818054,142.09079,61.952003,60.33754,89.38608,68.95008,60.173058,91.380844,26.277033,79.74923,62.419807,149.7253,76.04704,66.288284,97.29928,113.32899,77.64882,72.39758,51.856113,308.68515,41.395145,147.54224,31.656534,67.92402,52.554512,129.85973,100.37954,45.72716,34.311802,1.4026431,48.192806,61.431023,58.69065,66.45567,70.54114,80.54727,49.851887,19.867868,11.385872,60.313274,45.873775,50.91427
58.676003,37.696552,1.8893068,54.45974,83.28041,44.781208,69.906784,39.875595,140.41287,152.35992,24.204502,93.9915,86.96868,80.91325,55.829723,73.501434,120.607124,71.843216,124.16799,64.32806,39.27967,82.40112,89.389694,44.877712,135.59695,97.79542,89.25333,77.44653,39.87078,125.01037,87.90857,50.096455,64.58452,79.94228,40.741352,56.121925,104.008995,282.64603,93.43255,38.771923,141.72806,62.12265,60.12383,88.92917,68.589584,60.533756,91.07687,26.971378,79.487404,62.68629,149.76863,76.38647,66.283676,98.36288,113.40746,77.047935,72.442955,52.76134,308.3937,41.45312,147.68965,32.0415,68.06793,51.973003,130.95349,100.368126,46.161472,34.347027,1.6928462,48.039684,61.68259,58.995407,65.746254,70.43768,81.2656,50.28894,20.844704,11.957027,60.83578,46.361618,51.74512
59.01921,37.613018,1.8445318,55.097294,83.32599,45.06745,70.47709,39.942753,140.83978,152.29254,24.253002,94.19076,87.50465,81.113846,56.30703,73.973656,121.3101,71.935455,124.62994,64.204475,39.33588,82.74928,89.44676,44.693405,135.53667,97.88065,89.47523,78.31816,40.374733,125.451355,87.938416,50.272736,65.045105,80.01271,41.22295,56.516933,105.18092,282.60825,93.54225,39.14584,141.98616,62.44946,60.72615,89.54824,69.30829,60.867737,89.46804,26.747662,80.11079,62.74143,150.12698,77.06297,66.418846,98.97656,113.980675,77.17974,72.774864,53.00755,309.0057,41.258957,148.01991,32.02132,68.440575,52.575756,131.23824,100.980736,46.090652,34.46789,1.5968493,48.391678,61.928886,59.277588,66.17075,70.57543,81.24044,50.37029,20.778486,11.781334,60.95493,46.366577,51.409943
59.649174,38.09409,1.6075218,55.318153,83.4677,45.684727,71.017525,40.05881,140.44096,152.22656,24.386757,94.83102,87.173004,80.63793,56.21232,73.923546,121.606636,72.04915,124.76668,63.351555,39.938683,82.60992,89.34189,45.096222,135.44186,98.07873,89.762794,79.04924,40.669277,125.6227,87.92955,50.196747,65.4486,79.76659,41.477943,56.76085,105.096985,281.6055,93.47176,39.751858,142.13248,62.576763,61.217396,89.61685,69.303825,61.206722,89.30316,26.889637,80.09574,62.640797,150.36778,78.01389,66.31665,99.13413,113.75781,76.922134,73.067116,53.219284,308.46622,41.60861,148.49959,31.980108,68.127754,52.64713,131.76158,101.17357,46.07014,34.824352,1.4645823,48.90409,62.221523,59.099895,66.85904,71.21362,81.56481,50.30195,21.404356,12.692043,61.352093,46.62476,51.646957
58.971992,38.62386,1.7522933,55.1728,83.35721,45.116253,70.67231,40.20034,139.0373,151.57016,24.08012,94.1605,86.865265,80.7187,56.66247,73.558,120.878555,71.67495,124.469574,61.947876,40.132614,82.45552,89.06069,44.158504,134.5516,97.936195,89.275024,78.93063,40.65211,125.288536,88.51017,50.13698,66.66622,79.861305,42.0061,57.27122,105.11309,282.0372,94.00332,40.677574,141.38278,62.56146,61.35119,89.46311,70.04745,61.0527,89.328026,27.585758,80.814064,63.663723,149.81339,78.82269,66.51609,99.97366,114.30355,76.4223,73.03991,53.856136,309.45825,41.16617,149.38246,32.144554,68.64012,52.93816,133.5187,101.74844,46.307884,34.357895,1.6840094,48.6939,62.39793,59.208134,66.28149,70.62208,81.34057,50.596916,21.60361,12.575268,61.311367,46.566353,51.339783
58.793716,38.014885,1.7595937,54.960945,83.13608,45.123707,70.61374,40.003677,139.39038,151.65884,23.780437,93.65356,86.6362,80.99005,56.589752,73.6106,120.70901,71.81979,124.759964,62.70874,39.749,82.79862,89.62838,44.2843,134.3786,97.6881,89.69122,78.57125,40.417355,125.24674,88.455154,50.26886,66.29751,79.83637,41.515194,56.81814,104.899895,281.6238,93.68293,40.006367,141.0645,62.385498,60.96024,89.290764,69.846245,60.80406,88.141846,26.92566,80.23293,63.02032,149.96326,78.41845,66.139595,99.80131,114.07453,76.40464,72.72227,53.52972,308.5459,40.98166,148.73482,32.316956,68.768745,52.38978,132.57812,100.980354,45.986626,34.31455,1.6966718,48.661278,62.221294,59.18847,65.92086,71.096725,81.589134,50.66431,21.424963,11.983814,61.219917,46.626965,51.462536
59.229076,37.824524,1.7880437,55.16709,83.62079,45.29227,71.20072,40.22835,140.22433,152.08386,23.854067,94.32178,86.970566,81.383545,56.72841,73.900826,121.70569,72.16745,125.34747,63.344025,39.913605,83.15013,90.114944,44.606304,134.83066,97.88231,90.233734,79.12285,40.63394,125.932014,88.95726,50.593155,66.408005,80.25989,41.5441,57.133965,105.767334,282.84137,93.9533,40.004894,141.70363,62.480297,61.431114,89.848175,70.438065,60.886734,88.66983,26.981754,80.78097,63.236465,150.71756,79.16106,66.5571,99.76535,114.34849,76.651924,72.96258,53.49689,309.63065,41.333252,149.76161,32.493534,69.257744,52.718452,133.11848,101.50646,46.22839,34.436157,1.5847644,49.019585,62.40387,59.43752,66.509834,71.76553,81.91632,50.83333,21.318499,11.953594,61.29656,46.7919,51.39889
59.382874,38.18659,1.7364948,55.490334,83.93158,45.389683,71.49152,40.403137,140.7479,152.5582,23.993372,94.508835,87.37805,81.47998,56.909897,74.25524,122.28355,72.231766,125.54802,63.624,39.90776,83.31306,90.052216,44.60095,135.33646,98.312645,90.56691,79.279366,40.627316,126.210884,88.89791,50.59557,66.64425,80.33062,41.770985,57.26299,106.132034,282.81006,94.147736,39.91885,142.03667,62.727848,61.582443,90.08391,70.812965,61.189346,88.77662,26.832733,80.68793,63.30511,150.8053,78.503555,66.601944,100.159904,114.347374,76.94353,73.286064,53.47977,310.23587,41.39666,149.56445,32.402836,69.32784,52.992535,133.18906,101.8727,46.36142,34.567547,1.5742258,49.242603,62.460163,59.43543,66.82756,71.546005,81.96504,50.943573,21.297188,11.855576,61.483776,46.818733,51.728546
59.97751,38.19857,1.6934431,55.813118,85.151764,46.146553,71.71714,40.536568,142.94762,154.24094,24.216131,96.19419,88.7243,82.64746,57.253323,75.30739,124.22372,72.76137,126.74504,64.94581,40.54419,83.92738,91.11147,45.226746,137.55722,99.13699,91.66277,80.62749,41.402824,127.81617,89.7434,51.430286,66.481804,81.190254,42.18313,57.88074,108.15556,288.09933,95.102104,40.23064,144.23,63.58234,62.154213,91.220825,71.14062,61.71646,89.71032,27.20295,82.36486,64.09609,152.7767,79.67775,67.87447,100.43157,116.30086,78.46372,73.978584,53.757374,314.9672,42.28644,151.41048,32.713352,70.254906,53.36626,133.84624,103.47201,46.438225,34.877514,1.4181703,49.671944,63.04254,59.93061,67.86992,72.34343,82.37224,51.21337,21.066141,11.6865425,62.003056,46.98693,51.828266
60.00024,38.60851,1.54656,55.616913,84.90822,46.368046,71.228226,40.66355,142.30353,153.85785,24.338848,96.08811,87.831726,82.4608,56.48122,74.75998,123.55935,72.62683,126.43224,64.38398,40.52597,83.360565,90.980804,45.809055,137.10054,99.27075,91.751526,79.57912,41.046204,127.3425,89.5935,51.04419,66.92025,81.16166,41.934837,57.5107,107.225784,286.02728,95.08661,40.024677,143.47641,63.443462,61.717,90.57037,70.6987,61.85938,90.036736,27.659529,81.19632,63.9467,152.17325,79.49066,67.81327,100.54357,115.46657,77.7979,73.82525,53.995495,312.24725,42.39246,151.1664,32.896606,69.51719,52.32623,133.95335,102.8482,46.333466,34.952435,1.3980302,49.895638,62.6607,59.553303,67.782875,72.74348,82.67788,51.266483,21.663212,12.386841,62.235554,47.355305,52.40683
60.08111,38.058914,1.6653898,55.87182,84.25155,45.30545,71.75285,40.54953,142.3441,153.30827,24.479958,95.146706,87.90086,81.922,57.017944,74.77474,123.40888,72.61192,126.084915,64.893974,39.83731,83.676865,90.27887,45.178604,136.31007,99.01028,91.446175,79.18213,40.503914,126.75674,88.95561,50.72477,66.932686,80.83783,41.62777,57.66434,107.24921,283.41962,94.34936,39.17393,142.63257,62.9921,61.725883,90.80314,71.36023,61.673355,89.31446,26.581959,80.70849,63.37233,151.34781,77.95407,66.976105,100.54403,114.22066,77.30337,73.83242,53.431847,310.27383,41.535572,149.66151,32.469433,69.54833,53.27245,133.61795,101.906265,46.652237,34.6824,1.4952549,49.68714,62.572674,59.627636,67.3838,72.1631,82.59382,51.067974,21.374405,11.675644,61.793404,47.227722,52.614807
60.69265,37.56742,1.7192495,56.256622,84.375465,44.890606,72.63569,40.785095,143.25804,153.24667,24.693525,95.22815,88.415375,82.07851,57.486534,75.212265,124.68274,72.88693,126.26825,66.029655,39.43945,84.11893,90.35864,44.84063,136.70354,99.00767,91.79158,79.38733,40.375187,127.15586,88.73837,50.851048,67.04478,80.924416,41.63722,58.059414,108.16478,282.90375,94.29762,38.44132,142.72961,63.028282,62.2367,91.42695,72.5631,61.521317,88.91018,25.72176,80.97311,63.352818,151.32443,77.0692,66.74364,100.59604,113.902855,77.24965,74.19825,52.87728,310.6354,41.23179,149.61748,32.171886,70.09681,54.40362,134.04643,101.84399,47.051476,34.52006,1.3896221,49.887238,62.562756,59.73316,67.86927,72.15049,82.64928,51.0541,20.92108,11.105034,61.647465,47.258003,52.653694
60.664074,37.783005,1.8778074,56.769398,84.12749,44.26225,73.678024,41.169823,142.87056,153.1261,24.767212,94.5047,88.43643,81.97822,58.32319,75.26609,124.566154,73.180115,126.523384,65.5306,39.091244,84.562416,90.0218,44.135727,135.91507,99.23165,91.69445,79.26529,40.05941,127.07853,88.97723,50.65072,68.31452,81.04468,41.91555,58.51984,108.094795,281.14236,94.3949,38.675724,142.20926,62.882328,62.674118,91.832,73.92022,61.50815,88.76861,25.32301,80.93842,63.513798,150.99994,76.42381,66.314835,101.72074,113.24252,76.68485,74.47312,52.972305,310.38095,40.679066,149.61732,32.11846,70.54492,55.38876,135.29103,101.8448,47.735588,34.331825,1.5671138,49.96636,62.821224,59.94577,67.68638,71.57868,82.88185,51.43502,21.103632,10.914326,61.609226,47.410786,52.918262
61.149616,37.804073,1.7958257,56.83889,84.28598,44.35262,73.87781,41.151237,143.22304,153.14397,25.001272,95.3367,88.789635,81.7159,58.152397,75.32599,125.19422,73.2391,126.58212,65.749344,39.106895,84.37507,89.47656,44.493034,136.39702,99.35531,91.46269,79.469696,40.259125,127.24432,89.00264,50.723984,67.866035,81.22355,41.99118,58.7195,108.569046,281.83118,94.428604,38.73809,142.77795,62.925175,62.770695,92.05013,73.8415,61.684532,89.526634,25.722614,81.39912,63.69854,150.97571,76.99259,66.61649,101.15451,113.424095,76.87437,74.533394,52.990284,310.52136,40.906616,149.68889,31.942284,70.64458,55.65288,135.38432,102.45945,47.774216,34.31646,1.4438013,49.984688,62.690914,60.091965,68.12173,71.61708,82.65572,51.13884,20.855272,11.114048,61.54751,47.30362,52.49309
61.16967,38.21395,1.6382978,56.545635,84.54205,44.964214,73.44385,40.95977,142.64673,153.15765,24.831139,95.52528,88.09868,81.469376,57.72686,75.05211,124.8721,72.91811,126.476555,64.7716,39.608013,84.073204,89.60623,44.643333,136.1423,99.11518,91.69118,79.74039,40.29564,127.08782,89.15352,50.591103,67.87409,80.88846,41.832943,58.466465,107.94189,281.72818,94.269875,39.289608,142.7143,62.977497,62.804222,91.67082,73.138084,61.73607,89.51301,25.978634,81.292885,63.48711,151.21059,77.8707,66.58825,101.14674,113.48593,76.78554,74.40151,53.12084,310.00998,41.247665,150.16022,32.01859,69.96306,54.886955,134.99107,102.17758,47.27842,34.635426,1.3641008,50.196793,62.813335,59.609734,68.30406,71.98463,82.67808,51.1258,21.413208,11.790321,61.854588,47.354416,52.791977
61.28732,38.090862,1.6058977,56.32702,84.90854,45.07411,72.99071,40.767555,143.03233,153.27112,24.790476,95.92747,88.29264,81.751434,57.543648,75.18433,125.12326,72.75809,126.53059,65.25289,39.63498,83.922905,89.68603,44.59398,136.69876,98.966354,91.72135,79.68851,40.295765,127.261665,89.12197,50.74529,67.36543,81.00108,41.694885,58.37428,108.281395,283.53427,94.35034,39.189793,143.15721,63.13863,62.601517,91.591,72.84221,61.575584,89.5752,26.146149,81.59015,63.65443,151.41428,77.85639,66.957825,100.88648,114.00065,77.12313,74.34316,53.010464,311.0626,41.43816,150.27663,31.951904,70.060776,54.875477,134.58037,102.35439,47.115585,34.55464,1.3362049,50.09368,62.755257,59.598213,68.41362,71.935585,82.367165,51.024178,21.148123,11.599995,61.804287,47.120667,52.66329
